DateD_PO|ManufacturerID|Note|ProductType|Commessa|DateD|ID|Tag|SerialN
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB10
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB09
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB08
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB07
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB06
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB05
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB04
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB03
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB02
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB01
05-May-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-ES01
05-May-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-01
29-May-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-ES03
29-May-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-ES02
29-May-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-ES01
29-May-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-03
29-May-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-02
29-May-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19100', 'ID': '3343883000000226580'}||3343883000000391168||BC19100-01
30-Apr-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'TF19020', 'ID': '3343883000000391007'}||3343883000000391168||TF19020-01
28-Feb-2020|||{'display_value': 'Multicore Cable', 'ID': '3343883000000352015'}|{'display_value': 'PF19010', 'ID': '3343883000000352003'}||3343883000000352256||PF19010-02
28-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'PF19010', 'ID': '3343883000000352003'}||3343883000000352256||PF19010-01
20-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19050', 'ID': '3343883000000227600'}||3343883000000334848||IU19050-03
20-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19050', 'ID': '3343883000000227600'}||3343883000000334848||IU19050-02
