Wed Nov  3 09:51:47 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 11:26:35 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 17:01:39 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 17:02:41 2021 | ferrari: ERROR AFTER SIGNAL:
IE-0601C - AI4 - MAIN MOTOR CURRENT %% %% - 
Wed Nov  3 17:04:56 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 17:05:20 2021 | ferrari: ERROR AFTER SIGNAL:
IE-0601C - AI4 - MAIN MOTOR CURRENT %% %% - 
Fri Nov  5 11:53:09 2021 | barzasi: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Nov  5 13:09:10 2021 | barzasi: M:/Com-2021/FLENCO/FL21020 - GE USA/Doc SEID/IO - PLC Hardware IO List/FL21020IO01 - Rev.1.xlsx
Fri Nov  5 13:09:51 2021 | barzasi: M:/Com-2021/FLENCO/FL21020 - GE USA/Doc SEID/IO - PLC Hardware IO List/FL21020IO01 - Rev.1.xlsx
Fri Nov  5 13:10:03 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI1 - SPARE %% %% - 
Fri Nov  5 13:13:00 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI1 - SPARE %% %% - 
Fri Nov  5 13:45:32 2021 | marcom: C:/Users/marcom/Desktop/DERMOTT IO.xlsx
Mon Nov  8 08:56:32 2021 | marcom: ERROR AFTER SIGNAL:
%% - AI2 - SPARE %% %% - 
Wed Nov 10 08:59:45 2021 | marcom: C:/Users/marcom/Desktop/DERMOTT IO.xlsx
Mon Nov 15 11:42:12 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Mon Nov 15 11:50:38 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Wed Nov 17 12:42:11 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Thu Nov 18 10:51:45 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 10:52:13 2021 | ferrari: ERROR AFTER SIGNAL:
%% - DO7 - Spare %% %% - A 34.7
Thu Nov 18 10:58:27 2021 | marcom: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 11:02:57 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 11:03:14 2021 | ferrari: Errore: (IOLIST) nessun file o sheet excel selezionati.
Thu Nov 18 11:58:52 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/SPAC/DISEGNI/RPS 21-16005/RZ21010WD21 - REV.0/BIT-MAIN.xlsx
Thu Nov 18 11:59:07 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Thu Nov 18 12:00:43 2021 | barzasi: ERROR AFTER SIGNAL:
XY-101-01 - AI18.6 - SPEED POTENTIOMETER MAIN WINCH - EW272
Thu Nov 18 13:06:52 2021 | barzasi: ERROR AFTER SIGNAL:
XY-101-01 - AI18.6 - SPEED POTENTIOMETER MAIN WINCH - EW272
Thu Nov 18 14:23:49 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 14:23:51 2021 | ferrari: Errore: (IOLIST) nessun file o sheet excel selezionati.
Thu Nov 18 14:25:28 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 14:25:29 2021 | ferrari: Errore: (IOLIST) nessun file o sheet excel selezionati.
Thu Nov 18 14:25:49 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.3.xlsx
Thu Nov 18 17:53:01 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Fri Nov 19 08:14:14 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Fri Nov 19 12:14:44 2021 | marcom: M:/Com-2021/NEA-IT/NE21080 - IRAN/Doc SEID/IO - PLC Hardware IO List/NE21080IO02 - Rev.1 - APERTA.xlsx
Tue Nov 23 15:32:40 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/SPAC/DISEGNI/RPS 21-16005/RZ21010WD21 - REV.0/BIT2.xlsx
Tue Nov 23 15:33:01 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Tue Nov 23 15:33:09 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI2 - SPARE %% %% - EW294
Tue Nov 23 15:37:10 2021 | barzasi: ERROR AFTER SIGNAL:
XY-101-02 - AI58.5 - SPEED POTENTIOMETER AUX WINCH - EW288
Tue Nov 23 15:38:44 2021 | barzasi: ERROR AFTER SIGNAL:
XY-101-02 - AI58.5 - SPEED POTENTIOMETER AUX WINCH - EW288
Tue Nov 23 15:41:47 2021 | barzasi: ERROR AFTER SIGNAL:
012B-430.1 - AIE58.6 - Encoder AUX Winch Rotation %% - EW496 / AW496
Tue Nov 23 15:42:41 2021 | barzasi: ERROR AFTER SIGNAL:
012B-430.1 - AIE58.6 - Encoder AUX Winch Rotation %% - EW496 / AW496
Tue Nov 23 15:43:33 2021 | barzasi: ERROR AFTER SIGNAL:
012B-430.1 - AIE58.6 - Encoder AUX Winch Rotation %% - 
Tue Nov 23 15:46:04 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Tue Nov 23 15:46:13 2021 | barzasi: ERROR AFTER SIGNAL:
012B-430.1 - AIE58.6 - Encoder AUX Winch Rotation %% - 
Tue Nov 23 15:47:38 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:50:00 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:50:03 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:50:43 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:50:45 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:54:07 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:55:27 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Tue Nov 23 15:56:01 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 15:58:48 2021 | barzasi: ERROR AFTER SIGNAL:
%% - SDI58.2 - SPARE %% %% - E1210.7
Tue Nov 23 16:03:21 2021 | barzasi: ERROR AFTER SIGNAL:
%% - SDI58.2 - SPARE %% %% - E1210.7
Tue Nov 23 16:03:42 2021 | barzasi: ERROR AFTER SIGNAL:
012B-430.1 - AIE58.6 - Encoder AUX Winch Rotation %% - 
Tue Nov 23 16:04:26 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Tue Nov 23 16:04:33 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 16:39:05 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
Tue Nov 23 16:39:22 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI58.5 - SPARE %% %% - EW294
Tue Nov 23 16:42:04 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO03RPS - Rev.0-APERTA.xlsx
